Machine,Type,Machine ID,Timestamp,machine_id,temperature,vibration_level,battery_level,load_weight,speed,distance_traveled,obstacle_detection,navigation_status,wheel_rotation_speed,x,y,z
AGV - agv_003,AGV,agv_003,2024-10-19 09:01:20.984483+00:00,agv_003,33.6,0.34,5.6,1163.3,4.6,575.3,yes,waiting,100.0,79.8,173.3,60.4
AGV - agv_003,AGV,agv_003,2024-10-19 09:01:41.476867+00:00,agv_003,45.5,0.28,50.6,726.8,4.7,1895.6,yes,waiting,233.0,31.4,125.4,75.4
AGV - agv_003,AGV,agv_003,2024-10-19 09:02:01.431978+00:00,agv_003,10.1,0.39,69.6,1431.0,0.6,1763.2,no,waiting,139.2,44.0,111.2,156.1
AGV - agv_003,AGV,agv_003,2024-10-19 09:02:21.628212+00:00,agv_003,25.2,0.34,26.7,889.6,5.0,374.2,yes,en_route,467.8,46.7,0.6,14.2
AGV - agv_003,AGV,agv_003,2024-10-19 09:02:41.444941+00:00,agv_003,19.3,0.46,27.7,185.5,1.0,1524.8,yes,rerouting,12.2,168.2,138.6,115.9
AGV - agv_003,AGV,agv_003,2024-10-19 09:03:01.484626+00:00,agv_003,27.4,0.14,93.9,1194.2,1.4,1970.9,yes,waiting,442.2,32.4,34.3,56.1
AGV - agv_003,AGV,agv_003,2024-10-19 09:03:21.109309+00:00,agv_003,2.3,0.44,5.9,137.2,3.9,397.5,no,en_route,398.8,4.2,155.8,137.2
AGV - agv_003,AGV,agv_003,2024-10-19 09:03:41.509574+00:00,agv_003,25.2,0.16,9.9,159.6,0.5,1494.6,no,rerouting,35.2,60.6,69.4,45.3
AGV - agv_003,AGV,agv_003,2024-10-19 09:04:01.539824+00:00,agv_003,34.2,0.44,41.8,292.8,1.6,751.9,yes,waiting,385.0,184.3,133.2,148.3
AGV - agv_003,AGV,agv_003,2024-10-19 09:04:21.693086+00:00,agv_003,30.8,0.35,83.6,400.4,1.9,1350.9,no,waiting,181.1,1.4,95.0,4.6
AGV - agv_003,AGV,agv_003,2024-10-19 09:04:41.664906+00:00,agv_003,19.7,0.24,43.9,409.6,4.9,168.7,yes,en_route,315.9,134.3,101.8,173.4
