Machine,Type,Machine ID,Timestamp,machine_id,temperature,vibration_level,power_consumption,spindle_speed,tool_wear_level,cut_depth,feed_rate,coolant_flow_rate,material_hardness,chip_load
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:01:11.222177+00:00,cnc_milling_004,47.2,0.55,11.0,375.8,83.2,4.1,446.9,1.96,246.5,0.54
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:01:41.942784+00:00,cnc_milling_004,13.7,0.94,4.5,6749.9,24.0,3.4,372.3,0.81,103.8,0.64
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:02:02.078096+00:00,cnc_milling_004,10.5,0.02,0.9,13034.2,25.0,8.9,268.1,1.55,29.1,0.71
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:02:22.040663+00:00,cnc_milling_004,39.5,0.16,17.3,3315.0,94.2,3.8,264.0,1.4,179.6,0.98
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:02:41.944048+00:00,cnc_milling_004,58.7,0.24,10.9,14886.0,29.9,7.4,259.3,1.46,203.8,0.03
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:03:01.882958+00:00,cnc_milling_004,74.8,0.98,8.7,12765.9,66.0,9.2,470.4,1.51,167.2,0.47
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:03:16.995597+00:00,cnc_milling_004,34.3,0.49,6.8,6183.6,29.8,9.4,112.7,0.31,175.8,0.35
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:03:41.955675+00:00,cnc_milling_004,27.3,0.61,0.4,1382.8,40.4,0.5,269.0,0.05,161.5,0.6
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:03:46.822486+00:00,cnc_milling_004,48.0,0.48,10.3,7386.5,99.8,0.0,307.1,0.72,142.3,0.8
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:04:22.044686+00:00,cnc_milling_004,98.3,0.67,3.6,2464.7,36.2,7.8,0.5,0.02,145.5,0.18
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:04:42.097530+00:00,cnc_milling_004,73.3,0.62,18.6,12835.1,31.0,3.3,5.0,0.36,206.2,0.72
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:05:02.220130+00:00,cnc_milling_004,72.6,0.91,11.6,13876.7,62.4,9.7,139.9,1.72,290.5,0.87
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:05:17.192567+00:00,cnc_milling_004,33.9,0.22,4.3,2303.2,56.3,7.3,263.1,1.71,158.1,0.52
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:05:42.154809+00:00,cnc_milling_004,80.7,0.66,0.9,11175.3,58.6,4.0,416.8,1.99,94.7,0.27
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:05:46.839489+00:00,cnc_milling_004,83.7,0.21,10.0,11874.8,39.7,4.5,375.4,0.57,209.8,0.68
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:06:22.339625+00:00,cnc_milling_004,96.2,0.81,16.6,1662.9,80.1,2.4,98.8,1.08,140.5,0.12
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:06:26.864962+00:00,cnc_milling_004,82.2,0.9,2.5,10415.3,10.1,3.2,293.4,0.96,286.9,0.62
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:07:01.838027+00:00,cnc_milling_004,77.8,0.84,13.8,7470.1,83.5,3.7,249.2,1.58,134.3,0.91
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:07:17.293652+00:00,cnc_milling_004,95.5,0.37,1.9,5551.7,42.4,9.7,445.0,0.38,189.8,0.13
