Machine,Type,Machine ID,Timestamp,machine_id,temperature,spray_pressure,paint_thickness,humidity,paint_flow_rate,paint_volume_used,atomizer_speed,overspray_capture_efficiency,booth_airflow_velocity,solvent_concentration,x,y,z
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:01:15.638767+00:00,painting_robot_002,29.9,4.2,9.7,48.9,1.0,1.1,11.2,4.3,0.24,1.4,170.8,14.9,18.4
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:01:44.460251+00:00,painting_robot_002,29.6,3.3,39.0,96.6,4.4,1.0,171.5,16.4,0.62,2.9,183.5,135.3,81.0
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:02:04.408315+00:00,painting_robot_002,32.6,3.2,1.6,2.4,1.0,1.4,1668.0,26.7,0.6,0.5,52.8,191.6,5.8
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:02:24.402007+00:00,painting_robot_002,10.8,3.3,143.0,93.2,2.8,0.6,516.1,47.1,0.25,2.1,13.4,156.1,187.5
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:02:44.358389+00:00,painting_robot_002,44.1,3.1,107.8,95.4,3.7,0.6,1361.8,12.1,0.48,4.4,10.5,72.2,43.1
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:03:04.299386+00:00,painting_robot_002,44.2,2.0,62.5,11.1,3.7,1.2,2328.9,48.6,0.78,3.5,191.1,175.9,169.9
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:03:19.829601+00:00,painting_robot_002,44.5,4.5,5.6,66.1,2.8,1.0,2612.9,86.1,0.06,0.8,112.1,62.4,164.8
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:03:44.179962+00:00,painting_robot_002,6.8,4.0,96.6,24.9,1.9,0.4,968.7,72.8,0.48,1.2,88.8,143.3,158.3
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:03:50.815339+00:00,painting_robot_002,45.0,1.8,16.2,20.4,0.5,1.8,2007.7,97.5,0.67,0.3,31.1,115.9,100.8
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:04:24.060324+00:00,painting_robot_002,28.3,1.1,38.6,19.9,3.6,0.5,260.5,25.5,0.72,3.1,112.2,69.7,179.7
