Machine,Type,Machine ID,Timestamp,machine_id,force_applied,cycle_time,temperature,vibration_level,cycle_count,oil_pressure,die_alignment,sheet_thickness,power_consumption,noise_level,lubrication_flow_rate
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:01:06.811984+00:00,stamping_press_001,425.6,12.3,5.0,0.63,205.0,0.2,aligned,1.8,15.1,63.3,0.8
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:01:17.858467+00:00,stamping_press_001,1077.3,12.6,59.7,0.48,483.0,2.5,aligned,3.0,12.8,93.9,1.3
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:01:46.672557+00:00,stamping_press_001,1982.5,19.3,60.6,0.93,543.0,3.3,aligned,2.8,10.6,28.8,0.1
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:02:06.648348+00:00,stamping_press_001,1584.0,14.7,16.8,0.22,1768.0,1.1,aligned,4.5,3.2,62.8,0.6
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:02:26.621299+00:00,stamping_press_001,1904.3,17.3,60.9,0.87,1378.0,1.5,aligned,3.3,5.6,46.0,0.6
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:02:46.594074+00:00,stamping_press_001,4630.7,18.5,84.1,0.78,884.0,3.8,aligned,1.4,4.5,88.7,1.0
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:03:08.987335+00:00,stamping_press_001,4500.9,11.3,95.9,0.25,733.0,4.0,aligned,1.6,7.0,17.4,0.8
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:03:22.038669+00:00,stamping_press_001,3166.5,18.4,14.6,0.8,1461.0,3.9,aligned,4.6,8.3,1.2,1.0
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:03:49.190414+00:00,stamping_press_001,3797.5,3.8,45.5,0.85,1201.0,1.2,aligned,0.1,19.4,35.0,0.5
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:03:53.040490+00:00,stamping_press_001,2742.1,4.9,27.2,0.57,1932.0,0.7,aligned,2.6,1.8,60.7,0.4
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:04:26.290707+00:00,stamping_press_001,3792.7,15.2,47.3,0.61,1500.0,1.3,aligned,0.7,15.0,66.1,1.6
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:04:48.501777+00:00,stamping_press_001,4398.4,14.9,10.6,0.8,291.0,1.4,aligned,2.9,8.3,97.6,1.8
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:05:08.489309+00:00,stamping_press_001,1908.7,17.1,70.0,0.73,1683.0,4.4,aligned,2.7,15.6,83.8,0.4
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:05:21.787464+00:00,stamping_press_001,277.8,1.0,32.7,0.52,1827.0,1.1,aligned,2.1,17.0,49.6,1.4
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:05:48.433908+00:00,stamping_press_001,3277.5,0.4,86.8,0.33,1261.0,4.5,aligned,1.4,1.2,30.7,1.1
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:05:52.846009+00:00,stamping_press_001,2828.3,6.7,46.9,0.23,1363.0,3.2,aligned,0.6,18.8,36.6,0.5
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:06:28.719199+00:00,stamping_press_001,2854.2,12.6,5.1,0.21,1371.0,4.4,aligned,4.7,5.5,54.2,0.4
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:06:32.718914+00:00,stamping_press_001,2081.9,15.7,17.6,0.73,969.0,1.2,aligned,0.4,13.6,83.0,0.9
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:07:08.229801+00:00,stamping_press_001,1495.9,5.2,23.5,0.84,1459.0,4.2,aligned,3.3,18.2,10.0,0.1
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:07:21.527041+00:00,stamping_press_001,4421.9,18.9,18.1,0.79,1486.0,1.2,aligned,3.1,12.6,50.3,0.0
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:07:37.052403+00:00,stamping_press_001,4264.5,14.5,42.0,0.42,979.0,2.9,aligned,4.6,9.5,48.1,1.1
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:07:52.585090+00:00,stamping_press_001,1457.6,3.2,49.2,0.35,21.0,4.3,aligned,0.8,10.9,3.2,0.1
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:08:25.794148+00:00,stamping_press_001,1001.2,17.7,17.0,0.49,1907.0,4.1,aligned,3.7,11.7,41.4,0.0
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:08:45.766057+00:00,stamping_press_001,1799.8,7.3,73.8,0.85,1796.0,5.0,aligned,4.7,19.2,97.7,0.9
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:08:56.858783+00:00,stamping_press_001,3236.3,1.9,56.4,0.1,1597.0,1.1,aligned,0.9,1.8,98.1,1.7
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:09:12.409954+00:00,stamping_press_001,3727.9,12.9,75.9,0.92,1315.0,1.2,aligned,1.1,9.4,68.9,1.2
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:09:41.212612+00:00,stamping_press_001,1602.9,19.9,99.4,0.25,553.0,4.0,aligned,3.3,1.7,67.4,1.0
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:10:01.182357+00:00,stamping_press_001,646.8,5.4,78.7,0.88,1650.0,3.6,aligned,4.0,8.7,97.3,0.7
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:10:28.223294+00:00,stamping_press_001,2447.9,17.6,14.6,0.82,1267.0,3.1,aligned,4.2,3.2,93.9,0.4
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:10:32.211573+00:00,stamping_press_001,1856.3,13.7,82.3,0.02,1443.0,1.5,aligned,1.2,15.4,47.0,1.8
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:11:07.732218+00:00,stamping_press_001,433.2,8.4,82.7,0.11,441.0,2.2,aligned,2.5,12.7,46.9,1.4
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:11:12.154382+00:00,stamping_press_001,3483.0,12.1,71.9,0.71,592.0,4.4,aligned,2.4,13.4,74.9,1.4
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:11:43.201779+00:00,stamping_press_001,107.9,12.0,5.6,0.19,523.0,3.2,aligned,4.4,13.8,89.6,1.7
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:11:52.068886+00:00,stamping_press_001,4315.1,2.7,57.8,0.9,1774.0,2.2,aligned,4.3,11.3,27.3,0.1
