Machine,Type,Machine ID,Timestamp,machine_id,vibration_level,power_consumption,weld_temperature,weld_current,weld_voltage,weld_time,pressure_applied,wire_feed_rate,gas_flow_rate,weld_strength_estimate,x,y,z
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:01:09.030519+00:00,welding_robot_006,0.17,5.5,1457.1,6.2,3.9,663.0,202.1,5.6,4.0,60.6,0.2,83.7,135.7
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:01:20.096699+00:00,welding_robot_006,0.44,3.7,786.6,191.8,49.9,940.0,1361.5,9.5,16.2,2954.4,180.6,196.4,1.8
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:01:48.936593+00:00,welding_robot_006,0.62,9.8,1948.7,2.6,37.4,890.0,554.5,6.6,14.3,372.3,39.6,88.9,184.2
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:02:08.879976+00:00,welding_robot_006,0.77,2.4,144.1,211.6,45.7,803.0,893.7,9.0,38.6,3645.0,119.6,99.7,40.1
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:02:28.851070+00:00,welding_robot_006,0.93,1.5,1606.0,70.3,25.6,286.0,396.0,1.1,17.7,4142.7,158.9,6.5,122.4
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:02:48.816192+00:00,welding_robot_006,0.15,0.7,473.4,31.5,24.1,160.0,1470.9,7.1,34.8,1985.5,47.6,29.0,158.4
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:03:10.958670+00:00,welding_robot_006,0.19,6.5,875.2,48.2,36.1,114.0,565.0,7.8,43.9,973.2,68.2,48.5,62.5
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:03:24.289717+00:00,welding_robot_006,0.04,7.5,1063.9,160.0,25.7,873.0,198.9,1.7,13.9,4459.6,166.4,29.9,64.5
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:03:50.868649+00:00,welding_robot_006,0.93,7.5,352.5,223.1,3.9,184.0,389.0,9.8,14.9,53.3,47.4,39.6,173.1
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:03:55.264523+00:00,welding_robot_006,0.05,5.4,1009.4,229.9,21.6,851.0,930.3,8.8,46.8,4683.1,100.6,30.9,130.1
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:04:28.537415+00:00,welding_robot_006,0.48,8.9,677.3,119.9,28.8,545.0,1860.9,1.8,47.6,2352.5,48.8,146.0,185.3
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:04:50.728095+00:00,welding_robot_006,0.15,3.8,1862.5,9.7,33.0,385.0,273.5,4.5,36.2,2192.1,105.5,88.3,111.0
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:05:10.721450+00:00,welding_robot_006,0.22,6.8,131.3,186.7,23.3,366.0,1923.6,3.5,34.7,1761.9,182.1,169.7,91.5
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:05:24.017814+00:00,welding_robot_006,0.41,1.2,1471.6,99.8,39.0,277.0,312.3,2.6,17.7,2509.0,139.3,96.4,149.2
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:05:51.184119+00:00,welding_robot_006,0.2,0.0,978.8,293.0,33.2,818.0,1042.4,4.6,31.0,2836.8,183.7,93.3,28.8
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:05:55.056934+00:00,welding_robot_006,0.05,9.6,200.4,58.9,7.8,50.0,1137.6,6.0,25.2,4492.5,134.5,55.2,119.2
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:06:30.543752+00:00,welding_robot_006,0.07,8.9,781.3,125.9,6.6,838.0,288.1,2.2,41.7,1614.9,18.2,179.3,109.7
